"country_or_area","year","value","parameter"
"Australia","2014","393126.946994288","SO2"
"Australia","2013","396913.93653029","SO2"
"Australia","2012","406462.8477036","CO2"
"Australia","2011","403705.528313991","NO2"
"Australia","2010","406200.993184341","NO2"
"Australia","2009","408448.47899963","SO2"
"Australia","2008","404237.828214077","NO2"
"Australia","2007","398816.453543549","CO2"
"Australia","2006","391134.100909449","CO2"
"Australia","2005","385581.132806466","SO2"
"Australia","2004","381519.261592783","NO2"
"Australia","2003","368345.977425107","CO2"
"Australia","2002","361861.387896028","CO2"
"Australia","2001","357653.329899303","CO2"
"Australia","2000","349885.433108928","NO2"
"Australia","1999","343713.906947774","SO2"
"Australia","1998","334328.142646602","CO2"
"Australia","1997","320439.116819391","NO2"
"Australia","1996","311914.819824229","CO2"
"Australia","1995","305162.543548735","SO2"
"Australia","1994","293830.709141192","SO2"
"Australia","1993","289142.267681326","SO2"
"Australia","1992","284766.092717838","CO2"
"Australia","1991","279741.639011863","CO2"
"Australia","1990","278265.898940768","SO2"
"Austria","2014","64262.5639931315","NO2"
"Austria","2013","67957.1211123863","NO2"
"Austria","2012","67698.6586349119","CO2"
"Austria","2011","70327.1670444138","SO2"
"Austria","2010","72531.826129136","CO2"
"Austria","2009","67682.7251493548","NO2"
"Austria","2008","74066.2557920763","SO2"
"Austria","2007","74268.1107226333","NO2"
"Austria","2006","76934.9515340371","CO2"
"Austria","2005","79588.5018807541","SO2"
"Austria","2004","78388.9974250799","CO2"
"Austria","2003","78023.9538963192","CO2"
"Austria","2002","72126.5914446168","SO2"
"Austria","2001","70299.4711482287","SO2"
"Austria","2000","66274.7432545115","SO2"
"Austria","1999","65660.1336422327","SO2"
"Austria","1998","67047.2506680177","NO2"
"Austria","1997","67455.8927304212","CO2"
"Austria","1996","67667.2626980903","CO2"
"Austria","1995","64202.1592201769","CO2"
"Austria","1994","61189.1025048542","NO2"
"Austria","1993","60790.7577213156","SO2"
"Austria","1992","60432.2493410185","NO2"
"Austria","1991","65903.513308256","NO2"
"Austria","1990","62297.1655681668","NO2"
"Belarus","2014","60615.645730992","SO2"
"Belarus","2013","61510.987153813","CO2"
"Belarus","2012","60636.851387067","NO2"
"Belarus","2011","61128.400592577","SO2"
"Belarus","2010","61632.492704327","NO2"
"Belarus","2009","59596.205375555","NO2"
"Belarus","2008","63846.103794367","NO2"
"Belarus","2007","61563.881729088","CO2"
"Belarus","2006","62229.398882869","NO2"
"Belarus","2005","59664.73908178","NO2"
"Belarus","2004","58457.64761596","CO2"
"Belarus","2003","54845.145835185","CO2"
"Belarus","2002","53843.704423847","NO2"
"Belarus","2001","53783.847673632","NO2"
